rcid,airpt_cd,airpt_name,cntry_cd,atpco_cntry_cd,icao,city_cd,lat,lng,timezone,gmt,is_rail_road,is_bus_station,geoname_id,us_state_cd,atpco_zone,atpco_area
7798,TMJ,Termez,UZ,UZ,UTST,TMJ,37.280502,67.318954,Asia/Samarkand,5,N,N,6301012,,320,3
7799,TMK,Tamky,VN,VN,,TMK,15.566667,108.483330,Asia/Ho_Chi_Minh,7,N,N,8298707,,320,3
7800,TML,Tamale,GH,GH,DGLE,TML,9.406944,-0.879167,Africa/Accra,0,N,N,6296422,,230,2
7801,TMM,Tamatave,MG,MG,FMMT,TMM,-18.110000,49.392223,Indian/Antananarivo,3,N,N,1055977,,230,2
7802,TMN,"Tamana Island",KI,KI,,TMN,-2.483333,175.983340,Pacific/Tarawa,12,N,N,0,,340,3
7803,TMO,Tumeremo,VE,VE,SVTM,TMO,7.300000,-61.500000,America/Caracas,-5,N,N,3625893,,170,1
7804,TMP,Tampere-pirkkala,FI,FI,EFTP,TMP,61.420450,23.617563,Europe/Helsinki,2,N,N,6296563,,210,2
7805,TMQ,Tambao,BF,BF,DFEM,TMQ,14.783333,0.083333,Africa/Ouagadougou,0,N,N,7730460,,230,2
7806,TMR,Aguemar,DZ,DZ,DAAT,TMR,22.814722,5.459167,Africa/Algiers,1,N,N,6296367,,210,2
7807,TMS,"Sao Tome Island",ST,ST,FPST,TMS,0.378333,6.725000,Africa/Sao_Tome,0,N,N,6297079,,230,2
7808,TMT,Trombetas,BR,BR,SBTB,TMT,-1.916667,-55.583332,America/Santarem,-3,N,N,7668443,,170,1
7809,TMU,Tambor,CR,CR,MRTR,TMU,9.733333,-85.016670,America/Costa_Rica,-6,N,N,7668361,,160,1
7810,TMW,"Tamworth Regional Airport",AU,AU,YSTW,TMW,-31.084500,150.848500,Australia/Sydney,11,N,N,6301351,,340,3
7811,TMX,Timimoun,DZ,DZ,DAUT,TMX,29.233334,0.283333,Africa/Algiers,1,N,N,6296395,,210,2
7812,TMY,Tiom,ID,ID,,TMY,-3.950000,138.416670,Asia/Jayapura,9,N,N,7731554,,320,3
7813,TMZ,Thames,NZ,NZ,NZTH,TMZ,-37.116670,175.566670,Pacific/Auckland,13,N,N,7730733,,340,3
7814,TNA,Jinan,CN,CN,ZSJN,TNA,36.857690,117.206880,Asia/Shanghai,8,N,N,6453420,,320,3
7815,TNB,"Tanah Grogot",ID,ID,WRLH,TNB,-1.916667,116.200000,Asia/Makassar,8,N,N,7731555,,320,3
7816,TNC,"Tin City Afs",US,US,PATC,TNC,65.563890,-167.918880,America/Anchorage,-9,N,N,5876267,,000,1
7817,TND,Trinidad,CU,CU,MUTD,TND,21.800000,-80.000000,America/Havana,-5,N,N,6453442,,140,1
7818,TNE,Tanegashima,JP,JP,RJFG,TNE,30.541111,130.954160,Asia/Tokyo,9,N,N,6300347,,310,3
7819,TNF,Toussus-le-noble,FR,FR,LFPN,TNF,48.750830,2.113056,Europe/Paris,1,N,N,6299442,,210,2
7820,TNG,Boukhalef,MA,MA,GMTT,TNG,35.726288,-5.912898,Africa/Casablanca,0,N,N,6297220,,210,2
7821,TNH,"Tonghua Liuhe",CN,CN,ZYTN,TNH,41.750000,125.950000,Asia/Shanghai,8,N,N,8298799,,320,3
7822,TNI,Satna,IN,IN,VIST,TNI,24.564325,80.851810,Asia/Kolkata,6,N,N,6301103,CQ,330,3
7823,TNJ,Kidjang,ID,ID,WIKN,TNJ,0.919167,104.536110,Asia/Jakarta,7,N,N,6301233,,320,3
7824,TNK,Tununak,US,US,,TNK,60.570830,-165.266660,America/Anchorage,-9,N,N,5876833,,000,1
7825,TNL,Ternopol,UA,UA,UKLT,TNL,49.566666,25.600000,Europe/Kiev,2,N,N,7668512,,210,2
7826,TNM,"Teniente R. Marsh Martin",AQ,AQ,SCRM,TNM,-62.190556,-58.986390,America/Santiago,-3,N,N,8260905,,,
7827,TNN,Tainan,TW,TW,RCNN,TNN,22.948706,120.215710,Asia/Taipei,8,N,N,6300301,,320,3
7828,TNO,Tamarindo,CR,CR,MRCV,TNO,10.314033,-85.815475,America/Costa_Rica,-6,N,N,7668360,,160,1
7829,TNP,"Twentynine Palms",US,US,KTNP,TNP,34.118890,-115.935000,America/Los_Angeles,-8,N,N,5404199,,000,1
7830,TNQ,Teraina,KI,KI,,TNQ,4.700000,-160.333330,Pacific/Kiritimati,14,N,N,0,,340,3
7831,TNR,"Ivato International Airport",MG,MG,FMMI,TNR,-18.799631,47.475030,Indian/Antananarivo,3,N,N,1070940,,230,2
7832,TNS,Tungsten,CA,CA,,TNS,62.000000,-127.666664,America/Dawson_Creek,-7,N,N,8260915,,000,1
7833,TNT,"Dade Collier",US,US,KTNT,MIA,25.783333,-80.183334,America/New_York,-5,N,N,4152706,,000,1
